model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RW,0,traditional,ALPHA_RW,0.37418,1,-70.56,720,2,1581.12
RW,0,traditional,BETA_RW,14.0,1,-70.56,720,2,1581.12
RW,0,traditional,MENU_TIME,2.0,0,-70.56,720,2,1581.12
RW,0,traditional,HOTKEY_TIME,0.9,0,-70.56,720,2,1581.12
RW,0,traditional,LEARNING_COST,1.8,0,-70.56,720,2,1581.12
RW,0,traditional,ERROR_COST,3.0,0,-70.56,720,2,1581.12
