model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RWCK,7,audio,ALPHA_RW,0.06484,1,-192.62,715,4,411.52913017077606
RWCK,7,audio,BETA_RW,10.02514,1,-192.62,715,4,411.52913017077606
RWCK,7,audio,ALPHA_CK,0.45378,1,-192.62,715,4,411.52913017077606
RWCK,7,audio,BETA_CK,2.47527,1,-192.62,715,4,411.52913017077606
RWCK,7,audio,MENU_TIME,2.0,0,-192.62,715,4,411.52913017077606
RWCK,7,audio,HOTKEY_TIME,0.9,0,-192.62,715,4,411.52913017077606
RWCK,7,audio,LEARNING_COST,1.8,0,-192.62,715,4,411.52913017077606
RWCK,7,audio,ERROR_COST,3.0,0,-192.62,715,4,411.52913017077606
