model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RWCK,10,audio,ALPHA_RW,0.92932,1,-311.96,720,4,650.2370048480403
RWCK,10,audio,BETA_RW,3.1411,1,-311.96,720,4,650.2370048480403
RWCK,10,audio,ALPHA_CK,0.09097,1,-311.96,720,4,650.2370048480403
RWCK,10,audio,BETA_CK,3.24421,1,-311.96,720,4,650.2370048480403
RWCK,10,audio,MENU_TIME,2.0,0,-311.96,720,4,650.2370048480403
RWCK,10,audio,HOTKEY_TIME,0.9,0,-311.96,720,4,650.2370048480403
RWCK,10,audio,LEARNING_COST,1.8,0,-311.96,720,4,650.2370048480403
RWCK,10,audio,ERROR_COST,3.0,0,-311.96,720,4,650.2370048480403
