model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RWCK,1,audio,ALPHA_RW,0.37221,1,-249.04,720,4,524.3970048480404
RWCK,1,audio,BETA_RW,4.7459,1,-249.04,720,4,524.3970048480404
RWCK,1,audio,ALPHA_CK,0.6365,1,-249.04,720,4,524.3970048480404
RWCK,1,audio,BETA_CK,1.80236,1,-249.04,720,4,524.3970048480404
RWCK,1,audio,MENU_TIME,2.0,0,-249.04,720,4,524.3970048480404
RWCK,1,audio,HOTKEY_TIME,0.9,0,-249.04,720,4,524.3970048480404
RWCK,1,audio,LEARNING_COST,1.8,0,-249.04,720,4,524.3970048480404
RWCK,1,audio,ERROR_COST,3.0,0,-249.04,720,4,524.3970048480404
