model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RWCK,4,audio,ALPHA_RW,0.77818,1,-267.79,720,4,561.8970048480404
RWCK,4,audio,BETA_RW,2.67118,1,-267.79,720,4,561.8970048480404
RWCK,4,audio,ALPHA_CK,0.05759,1,-267.79,720,4,561.8970048480404
RWCK,4,audio,BETA_CK,5.44917,1,-267.79,720,4,561.8970048480404
RWCK,4,audio,MENU_TIME,2.0,0,-267.79,720,4,561.8970048480404
RWCK,4,audio,HOTKEY_TIME,0.9,0,-267.79,720,4,561.8970048480404
RWCK,4,audio,LEARNING_COST,1.8,0,-267.79,720,4,561.8970048480404
RWCK,4,audio,ERROR_COST,3.0,0,-267.79,720,4,561.8970048480404
