model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RWCK,9,traditional,ALPHA_RW,0.02177,1,-211.53,720,4,449.37700484804043
RWCK,9,traditional,BETA_RW,14.0,1,-211.53,720,4,449.37700484804043
RWCK,9,traditional,ALPHA_CK,0.51895,1,-211.53,720,4,449.37700484804043
RWCK,9,traditional,BETA_CK,2.21419,1,-211.53,720,4,449.37700484804043
RWCK,9,traditional,MENU_TIME,2.0,0,-211.53,720,4,449.37700484804043
RWCK,9,traditional,HOTKEY_TIME,0.9,0,-211.53,720,4,449.37700484804043
RWCK,9,traditional,LEARNING_COST,1.8,0,-211.53,720,4,449.37700484804043
RWCK,9,traditional,ERROR_COST,3.0,0,-211.53,720,4,449.37700484804043
