model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RWCK,6,traditional,ALPHA_RW,0.42869,1,-15.38,720,4,57.0770048480404
RWCK,6,traditional,BETA_RW,12.07017,1,-15.38,720,4,57.0770048480404
RWCK,6,traditional,ALPHA_CK,1.0,1,-15.38,720,4,57.0770048480404
RWCK,6,traditional,BETA_CK,14.0,1,-15.38,720,4,57.0770048480404
RWCK,6,traditional,MENU_TIME,2.0,0,-15.38,720,4,57.0770048480404
RWCK,6,traditional,HOTKEY_TIME,0.9,0,-15.38,720,4,57.0770048480404
RWCK,6,traditional,LEARNING_COST,1.8,0,-15.38,720,4,57.0770048480404
RWCK,6,traditional,ERROR_COST,3.0,0,-15.38,720,4,57.0770048480404
