model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
CK,10,audio,ALPHA_CK,0.17409,1,-345.22,720,2,703.5985024240202
CK,10,audio,BETA_CK,3.98627,1,-345.22,720,2,703.5985024240202
CK,10,audio,MENU_TIME,2.0,0,-345.22,720,2,703.5985024240202
CK,10,audio,HOTKEY_TIME,0.9,0,-345.22,720,2,703.5985024240202
CK,10,audio,LEARNING_COST,1.8,0,-345.22,720,2,703.5985024240202
CK,10,audio,ERROR_COST,3.0,0,-345.22,720,2,703.5985024240202
