model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
random,4,audio,HOTKEY_PROB,0.71196,1,-577.01,720,1,1160.5992512120101
random,4,audio,MENU_TIME,2.0,0,-577.01,720,1,1160.5992512120101
random,4,audio,HOTKEY_TIME,0.9,0,-577.01,720,1,1160.5992512120101
random,4,audio,LEARNING_COST,1.8,0,-577.01,720,1,1160.5992512120101
random,4,audio,ERROR_COST,3.0,0,-577.01,720,1,1160.5992512120101
