model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RWCK,0,traditional,ALPHA_RW,0.17278,1,-37.75,720,4,101.8170048480404
RWCK,0,traditional,BETA_RW,14.0,1,-37.75,720,4,101.8170048480404
RWCK,0,traditional,ALPHA_CK,0.95048,1,-37.75,720,4,101.8170048480404
RWCK,0,traditional,BETA_CK,2.23602,1,-37.75,720,4,101.8170048480404
RWCK,0,traditional,MENU_TIME,2.0,0,-37.75,720,4,101.8170048480404
RWCK,0,traditional,HOTKEY_TIME,0.9,0,-37.75,720,4,101.8170048480404
RWCK,0,traditional,LEARNING_COST,1.8,0,-37.75,720,4,101.8170048480404
RWCK,0,traditional,ERROR_COST,3.0,0,-37.75,720,4,101.8170048480404
