,subject,item,transition_start,transition_end,transition_duration,transition_start_trial,transition_end_trial,transition_duration_trial
28855,40,Strawberry,2,-1,-1,173,-1,-1
28856,40,Sweater,-1,-1,-1,-1,-1,-1
29519,41,Garlic,0,7,7,0,66,66
29520,41,Frog,0,5,5,1,68,67
29521,41,Camel,0,8,8,2,249,247
29522,41,Dolphin,0,7,7,3,48,45
29526,41,Coat,0,5,5,7,74,67
29527,41,Clock,0,9,9,8,243,235
29530,41,Corn,0,15,15,11,473,462
29536,41,Mouse,0,1,1,17,32,15
29537,41,Pencil,0,5,5,18,36,18
29541,41,Banana,0,25,25,22,397,375
29545,41,Karate,0,3,3,26,93,67
29556,41,Cards,0,5,5,37,50,13
29575,41,Strawberry,0,6,6,56,418,362
29576,41,Sweater,0,-1,-1,57,-1,-1
