,subject,item,transition_start,transition_end,transition_duration,transition_start_trial,transition_end_trial,transition_duration_trial
6482,9,Mouse,5,8,3,20,51,31
6486,9,Clock,3,13,10,16,194,178
6487,9,Cards,2,-1,-1,99,-1,-1
6490,9,Dolphin,4,-1,-1,136,-1,-1
6496,9,Strawberry,3,25,22,97,483,386
6497,9,Frog,2,3,1,24,27,3
6501,9,Camel,2,25,23,28,397,369
6505,9,Pencil,2,13,11,90,391,301
6516,9,Corn,5,25,20,50,285,235
6535,9,Coat,1,-1,-1,102,-1,-1
6536,9,Banana,1,-1,-1,106,-1,-1
7199,10,Karate,3,49,46,33,491,458
7200,10,Sweater,14,-1,-1,248,-1,-1
7201,10,Garlic,-1,-1,-1,-1,-1,-1
7202,10,Mouse,9,49,40,53,251,198
7206,10,Clock,5,41,36,74,638,564
7207,10,Cards,-1,-1,-1,-1,-1,-1
7210,10,Dolphin,-1,-1,-1,-1,-1,-1
7216,10,Strawberry,-1,-1,-1,-1,-1,-1
7217,10,Frog,7,38,31,39,204,165
7221,10,Camel,5,20,15,83,312,229
7225,10,Pencil,-1,-1,-1,-1,-1,-1
7236,10,Corn,5,-1,-1,50,-1,-1
7255,10,Coat,-1,-1,-1,-1,-1,-1
7256,10,Banana,-1,-1,-1,-1,-1,-1
7919,11,Karate,0,6,6,0,61,61
7920,11,Sweater,0,21,21,1,431,430
7921,11,Garlic,0,9,9,2,252,250
7922,11,Mouse,0,5,5,3,20,17
7926,11,Clock,0,9,9,7,135,128
7927,11,Cards,0,-1,-1,8,-1,-1
7930,11,Dolphin,0,11,11,11,357,346
7936,11,Strawberry,0,15,15,17,300,283
7937,11,Frog,0,5,5,18,36,18
7941,11,Camel,0,13,13,22,209,187
7945,11,Pencil,0,16,16,26,508,482
7956,11,Corn,0,7,7,37,94,57
7975,11,Coat,0,-1,-1,56,-1,-1
7976,11,Banana,0,-1,-1,57,-1,-1
8639,12,Frog,-1,-1,-1,-1,-1,-1
8640,12,Camel,-1,-1,-1,-1,-1,-1
8641,12,Pencil,-1,-1,-1,-1,-1,-1
8642,12,Coat,-1,-1,-1,-1,-1,-1
8646,12,Corn,-1,-1,-1,-1,-1,-1
8647,12,Dolphin,-1,-1,-1,-1,-1,-1
8650,12,Strawberry,-1,-1,-1,-1,-1,-1
8656,12,Clock,-1,-1,-1,-1,-1,-1
8657,12,Banana,-1,-1,-1,-1,-1,-1
8661,12,Karate,-1,-1,-1,-1,-1,-1
8665,12,Sweater,-1,-1,-1,-1,-1,-1
8676,12,Mouse,-1,-1,-1,-1,-1,-1
8695,12,Cards,-1,-1,-1,-1,-1,-1
